hour,demand,gas_price,electricity_price,wind_generation,solar_generation,gas_generation,total_generation,marginal_generator,shortfall
130,23849.0,85,72.507125,976.2492525927079,9282.23714160396,13590.513605803331,23849.0,gas2,0.0
131,23377.0,88,60.052960000000006,3048.3285306136395,11947.447832990134,8381.22363639623,23377.000000000004,gas4,-3.637978807091713e-12
132,22976.0,85,58.005700000000004,3195.5111342848354,14670.538305318545,5109.950560396621,22976.0,gas4,0.0
133,21868.0,82,50.87130909090909,3746.874483874947,17258.729322443523,862.3961936815322,21868.000000000004,gas5,-3.637978807091713e-12
134,20535.5,83,0.0,4072.156526547688,16463.34347345231,0.0,20535.5,solar10,0.0
135,20272.0,84,0.0,4847.588407986514,15424.411592013486,0.0,20272.0,solar10,0.0
136,21230.5,85,52.732454545454544,5016.02152212469,14565.679435863647,1648.799042011662,21230.5,gas5,0.0
137,22887.0,83,56.64086,6667.81012161615,11347.202581034313,4871.987297349537,22887.0,gas4,0.0
138,23831.0,83,56.64086,7536.002632735008,9740.833007978763,6554.164359286227,23830.999999999996,gas4,3.637978807091713e-12
139,24616.0,79,59.90131111111112,8942.274913945766,6665.368285380672,9008.356800673559,24615.999999999996,gas3,3.637978807091713e-12
140,25115.5,82,62.17604444444445,10041.578672760972,3635.968993663122,11437.952333575904,25115.5,gas3,0.0
141,24670.5,85,72.507125,9923.466915506568,1507.789472815134,13239.2436116783,24670.5,gas2,0.0
142,23645.0,88,75.0662,10174.630032038393,113.79974228223921,13356.57022567937,23645.0,gas2,0.0
143,21738.5,91,69.00024444444445,9779.95137406512,0.0004612050561313755,11958.548164729822,21738.5,gas3,0.0
144,20527.0,90,68.242,10338.167128574856,0.0,10188.832871425144,20527.0,gas3,0.0
145,19560.5,89,67.48375555555556,9701.73691045524,0.0,9858.763089544758,19560.5,gas3,0.0
146,18730.5,92,69.75848888888889,9613.608044479593,0.0,9116.891955520405,18730.5,gas3,0.0
147,18141.0,94,64.14748,9674.566090167082,0.0,8466.433909832918,18141.0,gas4,0.0
148,17715.0,96,65.51232,9572.717560693187,0.0,8142.282439306813,17715.0,gas4,0.0
149,17434.0,96,65.51232,8997.8546666001,11.256289255019121,8424.889044144882,17434.0,gas4,0.0
150,17617.5,98,66.87716,8971.575866901901,794.0328801250876,7851.89125297301,17617.5,gas4,0.0
151,18302.0,96,65.51232,8901.482676190233,2913.54029898282,6486.977024826947,18302.0,gas4,0.0
152,19798.0,93,63.46506,8535.690348685735,5492.024803686021,5770.284847628245,19798.0,gas4,0.0
153,20874.0,95,64.82990000000001,7737.813244421332,7935.270125001681,5200.91663057699,20874.000000000004,gas4,-3.637978807091713e-12
154,21202.5,94,58.31589090909091,6893.1671576028875,11260.933058746112,3048.399783650999,21202.499999999996,gas5,3.637978807091713e-12
155,21273.5,94,58.31589090909091,5732.750828416836,13011.157391264249,2529.591780318915,21273.5,gas5,0.0
156,21528.0,94,58.31589090909091,5023.769147303189,15986.041361880914,518.1894908158974,21528.0,gas5,0.0
157,21076.0,94,58.31589090909091,4448.8255751009965,16601.242189018845,25.93223588015826,21076.0,gas5,0.0
158,20710.5,94,0.0,3607.200718828618,17103.29928117138,0.0,20710.5,solar10,0.0
159,20747.0,98,60.79741818181819,2982.40718921149,16183.805934833994,1580.7868759545163,20747.0,gas5,0.0
160,21976.5,96,59.55665454545455,3082.2640745192994,15327.46044840883,3566.775477071871,21976.5,gas5,0.0
161,24016.5,99,75.06620000000001,2518.629530245653,11991.089976971407,9506.780492782942,24016.5,gas3,0.0
162,25566.0,97,82.74342499999999,2463.2710532497235,8862.461216064923,14240.267730685351,25566.0,gas2,0.0
163,25960.0,94,91.63925714285716,1994.2156296000378,6440.487750988522,17500.0,25934.70338058856,gas1,25.296619411441498
164,25806.5,90,87.73971428571431,1625.2851227391884,3757.460416213241,17500.0,22882.74553895243,gas1,2923.7544610475707
165,25137.5,93,90.66437142857144,1303.9304168096642,1514.954096229706,17500.0,20318.88451303937,gas1,4818.615486960629
166,24193.5,90,87.73971428571431,1093.7933260345942,131.85346445675472,17500.0,18725.646790491348,gas1,5467.853209508652
167,21873.5,86,83.84017142857145,1073.6195006914065,0.0004612050561313755,17500.0,18573.619961896464,gas1,3299.880038103536
168,20429.5,85,82.86528571428573,1927.5370777878713,0.0,17500.0,19427.53707778787,gas1,1001.9629222121293
